form_id,lobbyist_registrant,organization_firm,employer,registration_period
LR96133,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Corvias Solutions,11/01/16-10/31/17
LR96135,"Perry, Timothy  A","Perry, White, Ross & Jacobson","County Commissioners of Charles County, MD",11/01/16-10/31/17
LR96137,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Curtis Bay Energy,11/01/16-10/31/17
LR96144,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Fidelity Investments,11/01/16-10/31/17
LR96151,"Perry, Timothy  A","Perry, White, Ross & Jacobson","HDR Engineering, Inc.",11/01/16-10/31/17
LR96167,"Perry, Timothy  A","Perry, White, Ross & Jacobson","NRG Energy, Inc.",11/01/16-10/31/17
LR96168,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Paragon Outlets White Marsh LLC,11/01/16-04/01/17
LR96187,"Perry, Timothy  A","Perry, White, Ross & Jacobson","Renovate America, Inc.",11/01/16-03/01/17
LR96202,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Sun Services,11/01/16-10/31/17
LR96207,"Perry, Timothy  A","Perry, White, Ross & Jacobson",W.R. Grace & Co.,11/01/16-10/31/17
LR96509,"Perry, Timothy  A","Perry, White, Ross & Jacobson",American Communities Trust,11/01/16-10/31/17
LR96512,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Baltimore Arts Realty Corporation,11/01/16-10/31/17
LR96515,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Coalition for Procurement Reform,11/01/16-10/31/17
LR96516,"Perry, Timothy  A","Perry, White, Ross & Jacobson","Darden, Inc.",11/01/16-10/31/17
LR96085,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Anheuser-Busch Companies,11/01/16-10/31/17
LR96090,"Perry, Timothy  A","Perry, White, Ross & Jacobson","Beatty Development Group, LLC",11/01/16-10/31/17
LR96094,"Perry, Timothy  A","Perry, White, Ross & Jacobson","CNU Online Holdings, LLC",11/01/16-10/31/17
LR96097,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Community First Development Corporation,11/01/16-10/31/17
LR96141,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Election Systems & Software,11/01/16-10/31/17
LR96142,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Ernst & Young,11/01/16-10/31/17
LR96143,"Perry, Timothy  A","Perry, White, Ross & Jacobson","FanDuel, Inc.",11/01/16-10/31/17
LR96147,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Glaxo Smith Kline,11/01/16-10/31/17
LR96153,"Perry, Timothy  A","Perry, White, Ross & Jacobson","Holy Cross Health, Inc.",11/01/16-10/31/17
LR96159,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Maryland Horse Breeders Association,11/01/16-10/31/17
LR96164,"Perry, Timothy  A","Perry, White, Ross & Jacobson","Nissan North America, Inc.",11/01/16-10/31/17
LR96170,"Perry, Timothy  A","Perry, White, Ross & Jacobson","Peterson Companies, The",11/01/16-10/31/17
LR96188,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Royal Farms,11/01/16-01/27/17
LR96206,"Perry, Timothy  A","Perry, White, Ross & Jacobson","United HealthCare Services, Inc.",11/01/16-10/31/17
LR98480,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Baltimore Scrap Corp.,12/01/16-10/31/17
LR129439,"Perry, Timothy  A","Perry, White, Ross & Jacobson",AltaGas,06/12/17-10/31/17
LR96088,"Perry, Timothy  A","Perry, White, Ross & Jacobson",AT&T,11/01/16-10/31/17
LR96091,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Calvin Cafritz Enterprises,11/01/16-10/31/17
LR96093,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Clear Channel Outdoor,11/01/16-10/31/17
LR96140,"Perry, Timothy  A","Perry, White, Ross & Jacobson",DraftKings Inc.,11/01/16-10/31/17
LR96145,"Perry, Timothy  A","Perry, White, Ross & Jacobson",FirstEnergy Corp.,11/01/16-10/31/17
LR96154,"Perry, Timothy  A","Perry, White, Ross & Jacobson",IWP (Injured Workers Pharmacy),11/01/16-10/31/17
LR96155,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Kaplan Higher Education,11/01/16-10/31/17
LR96160,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Mercy Medical Center,11/01/16-10/31/17
LR96185,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Procter & Gamble,11/01/16-10/31/17
LR96189,"Perry, Timothy  A","Perry, White, Ross & Jacobson","Sanford Companies, Inc., The",11/01/16-10/31/17
LR96198,"Perry, Timothy  A","Perry, White, Ross & Jacobson","St. John Properties, Inc.",11/01/16-10/31/17
LR96199,"Perry, Timothy  A","Perry, White, Ross & Jacobson","Stadium Square Holdings, LLC",11/01/16-10/31/17
LR96200,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Stevenson University,11/01/16-10/31/17
LR96208,"Perry, Timothy  A","Perry, White, Ross & Jacobson","Wegmans Food Markets, Inc.",11/01/16-10/31/17
LR96542,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Pure Life Medical Inc.,11/01/16-10/31/17
LR96545,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Southern Management Corporation,11/01/16-10/31/17
LR96547,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Washington Redskins Charitable Foundation,11/01/16-10/31/17
LR98704,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Tradepoint Atlantic,01/04/17-10/31/17
LR98706,"Perry, Timothy  A","Perry, White, Ross & Jacobson","GTI Maryland, LLC",01/04/17-10/31/17
LR108871,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Howard Hughes Corporation,01/18/17-10/31/17
LR109086,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Maryland Affordable Housing Coalition,02/13/17-10/31/17
LR129412,"Perry, Timothy  A","Perry, White, Ross & Jacobson",Global Tel-Link (GTL),05/29/17-10/31/17
LR139455,Perry White Ross & Jacobson LLC,"Perry, White, Ross & Jacobson",Perry White Ross & Jacobson LLC,11/01/16-10/31/17
LR108815,"Peusch, Christina",Maryland State Child Care Association,Maryland State Child Care Association,01/18/17-10/01/17
LR109152,"Pew Charitable Trusts, The",Pew Charitable Trust,"Pew Charitable Trusts, The",02/23/17-04/30/17
LR98472,"Philip, Diana","NARAL Pro Choice Maryland","NARAL Pro-Choice Maryland",12/06/16-10/31/17
LR97535,"Pica, Jr., John A","Pica and Associates, LLC",Woodbourne Center,11/01/16-10/31/17
LR97543,"Pica, Jr., John A","Pica and Associates, LLC",US Oncology,11/01/16-10/31/17
LR98651,"Pica, Jr., John A","Pica and Associates, LLC","National Shooting Sports Foundation, Inc.",12/01/16-10/31/17
LR139518,"Pica, Jr., John A","Pica and Associates, LLC",Nexus Youth and Family Services,07/25/17-10/31/17
LR97521,"Pica, Jr., John A","Pica and Associates, LLC",Home Paramount Pest Control Companies,11/01/16-10/31/17
LR97530,"Pica, Jr., John A","Pica and Associates, LLC","Drive Safe Enforcement, LLC",11/01/16-10/31/17
LR97532,"Pica, Jr., John A","Pica and Associates, LLC","Special Olympics Maryland, Inc.",11/01/16-10/31/17
LR97537,"Pica, Jr., John A","Pica and Associates, LLC",Dave's Trucking,11/01/16-10/31/17
LR97538,"Pica, Jr., John A","Pica and Associates, LLC","Maryland Oncology Hematology, P.A.",11/01/16-10/31/17
LR98465,"Pica, Jr., John A","Pica and Associates, LLC","Pica and Associates, LLC",12/05/16-10/31/17
LR98835,"Pica, Jr., John A","Pica and Associates, LLC",World Match Racing Tour,01/18/17-10/31/17
LR97528,"Pica, Jr., John A","Pica and Associates, LLC","Alternative Medicine Maryland, LLC",11/01/16-10/31/17
LR97534,"Pica, Jr., John A","Pica and Associates, LLC",AMC Theatres,11/01/16-10/31/17
LR97544,"Pica, Jr., John A","Pica and Associates, LLC","Center for the Visual and Performing Arts, Inc.",11/01/16-10/31/17
LR98693,"Pica, Jr., John A","Pica and Associates, LLC",Energy and Property Rights Coalition,01/06/17-10/31/17
LR95595,"Pitcher, J. William",Law Office of J. William Pitcher,Maryland Land Title Association,11/01/16-10/31/17
LR95720,"Pitcher, J. William",Law Office of J. William Pitcher,"Nurse Practitioner Association of Maryland, Inc.",11/01/16-10/31/17
LR95586,"Pitcher, J. William",Law Office of J. William Pitcher,AIRMALL USA,11/01/16-10/31/17
LR95591,"Pitcher, J. William",Law Office of J. William Pitcher,Luke Paper Company,11/01/16-10/31/17
LR95592,"Pitcher, J. William",Law Office of J. William Pitcher,Maryland Academy of Audiology,11/01/16-10/31/17
LR95607,"Pitcher, J. William",Law Office of J. William Pitcher,Maryland Psychological Association,11/01/16-10/31/17
LR98678,"Pitcher, J. William",Law Office of J. William Pitcher,Marijuana Policy Project,01/05/17-10/31/17
LR95717,"Pitcher, J. William",Law Office of J. William Pitcher,"Novartis Services, Inc.",11/01/16-10/31/17
LR95723,"Pitcher, J. William",Law Office of J. William Pitcher,"Otsuka America Pharmaceutical, Inc.",11/01/16-10/31/17
LR95733,"Pitcher, Susan J.",Law Office of J. William Pitcher,Law Office of J. William Pitcher,11/01/16-10/31/17
LR98572,"Pitcher, J. William",Law Office of J. William Pitcher,Celgene Corporation,01/02/17-04/30/17
LR95587,"Pitcher, J. William",Law Office of J. William Pitcher,"Cable Telecommunications Association of Maryland, Delaware and D.C., Inc.",11/01/16-10/31/17
LR95593,"Pitcher, J. William",Law Office of J. William Pitcher,"Maryland Athletic Trainers Association, Inc.",12/19/16-10/31/17
LR95594,"Pitcher, J. William",Law Office of J. William Pitcher,Maryland Chiropractic Association,11/01/16-10/31/17
LR95715,"Pitcher, J. William",Law Office of J. William Pitcher,National Rifle Association-Institute for Legislative Action,11/01/16-10/31/17
LR95729,"Pitcher, J. William",Law Office of J. William Pitcher,Vertex Pharmaceuticals Incorporated,11/01/16-10/31/17
LR95589,"Pitcher, J. William",Law Office of J. William Pitcher,City of Annapolis,11/01/16-10/31/17
LR95608,"Pitcher, J. William",Law Office of J. William Pitcher,MillerCoors LLC,11/01/16-10/31/17
LR95727,"Pitcher, J. William",Law Office of J. William Pitcher,Pharmaceutical Research & Manufacturers of America,11/01/16-10/31/17
LR98682,"Plaut, Ari","Law Office of Frank D. Boston, III",Maryland State Fraternal Order of Police,01/06/17-10/31/17
LR98683,"Plaut, Ari","Law Office of Frank D. Boston, III",Maryland Hotel & Lodging Association,01/06/17-10/31/17
LR98555,"Plaut, Ari","Law Office of Frank D. Boston, III","Greater Baltimore Board of Realtors, Inc.",12/21/16-10/31/17
LR98629,"Pomeroy, Christopher D",AquaLaw PLC,"Maryland Municipal Stormwater Association, Inc.",01/01/17-10/31/17
LR95604,"Pomeroy, Christopher D",AquaLaw PLC,"Maryland Association of Municipal Wastewater Agencies, Inc.",01/01/17-10/31/17
LR97275,"Popham, Bryson F","Bryson F. Popham, P.A.","T. Rowe Price Group, Inc.",11/01/16-10/31/17
LR97278,"Popham, Bryson F","Bryson F. Popham, P.A.",US Lacrosse,11/01/16-10/31/17
LR97257,"Popham, Bryson F","Bryson F. Popham, P.A.","Safelite Group, Inc.",11/01/16-10/31/17
LR97213,"Popham, Bryson F","Bryson F. Popham, P.A.",CIGNA Corporation,11/01/16-10/31/17
LR97241,"Popham, Bryson F","Bryson F. Popham, P.A.",Premium Cigar Retailers Association of Maryland,11/01/16-10/31/17
LR97249,"Popham, Bryson F","Bryson F. Popham, P.A.",Progressive Insurance Co.,11/01/16-10/31/17
LR97196,"Popham, Bryson F","Bryson F. Popham, P.A.",Agency Insurance Company of Maryland,11/01/16-10/31/17
LR97220,"Popham, Bryson F","Bryson F. Popham, P.A.","Insurance Agents & Brokers of Maryland, Inc. (IA&B)",11/01/16-10/31/17
LR97229,"Popham, Bryson F","Bryson F. Popham, P.A.",Maryland Association of Health Underwriters,11/01/16-10/31/17
LR97232,"Popham, Bryson F","Bryson F. Popham, P.A.",National Association of Insurance and Financial Advisors-Maryland(NAIFA),11/01/16-10/31/17
LR96904,"Popham, Bryson F","Bryson F. Popham, P.A.",Aetna US Healthcare,11/01/16-10/31/17
LR98723,"Popham, Bryson F","Bryson F. Popham, P.A.",Petersen International Underwriters,01/09/17-10/31/17
LR98724,"Popham, Bryson F","Bryson F. Popham, P.A.","MD/DC/VA Solar Energy Industries Association, Inc. (SEIA)",01/09/17-10/31/17
LR109290,"Popham, Bryson F","Bryson F. Popham, P.A.","CJ Miller, LLC",03/31/17-04/30/17
LR97203,"Popham, Bryson F","Bryson F. Popham, P.A.",American Bankers Ins. Company of Florida (ABIC)(Member Co. of Assurant Solutions/Speciality Property-Registered Servicemarks),11/01/16-10/31/17
LR97212,"Popham, Bryson F","Bryson F. Popham, P.A.",Building Owners & Managers Association of Greater Baltimore,11/01/16-10/31/17
LR97199,"Popham, Bryson F","Bryson F. Popham, P.A.","Agency Services, Inc.",11/01/16-10/31/17
LR97209,"Popham, Bryson F","Bryson F. Popham, P.A.","Army Alliance, Inc.",11/01/16-10/31/17
LR97216,"Popham, Bryson F","Bryson F. Popham, P.A.",Clever Devices,11/01/16-10/31/17
LR97226,"Popham, Bryson F","Bryson F. Popham, P.A.",International Premium Cigar & Pipe Retailers Association,11/01/16-10/31/17
LR97253,"Popham, Bryson F","Bryson F. Popham, P.A.",Retirement Planning Coalition,11/01/16-10/31/17
LR97264,"Popham, Bryson F","Bryson F. Popham, P.A.",Selective Insurance Company,11/01/16-10/31/17
LR98313,Potomac Electric Power Company,"Power Company, Potomac Electric",Potomac Electric Power Company,11/28/16-10/31/17
LR96052,"Pounds, Eddie L.","O'Malley, Miles, Nylen & Gilmore, P.A.",City of College Park,11/01/16-10/31/17
LR96058,"Pounds, Eddie L.","O'Malley, Miles, Nylen & Gilmore, P.A.",Prince George's County Correctional  Officers Association,11/01/16-10/31/17
LR96053,"Pounds, Eddie L.","O'Malley, Miles, Nylen & Gilmore, P.A.","Association of Global Automakers, Inc.",11/01/16-10/31/17
LR96056,"Pounds, Eddie L.","O'Malley, Miles, Nylen & Gilmore, P.A.","Maryland Medical Solutions, LLC",11/01/16-10/31/17
LR96051,"Pounds, Eddie L.","O'Malley, Miles, Nylen & Gilmore, P.A.",City of Bowie,11/01/16-10/31/17
LR96055,"Pounds, Eddie L.","O'Malley, Miles, Nylen & Gilmore, P.A.","Minority Cannabis Association of Maryland, LLC",11/01/16-10/31/17
LR96057,"Pounds, Eddie L.","O'Malley, Miles, Nylen & Gilmore, P.A.","Maryland Citizens' Health Initiative Education Fund, Inc.",11/01/16-10/31/17
LR96059,"Pounds, Eddie L.","O'Malley, Miles, Nylen & Gilmore, P.A.",American Heart Association,12/07/16-10/31/17
LR97516,"Powell, Michael C",Gordon Feinblatt LLC,"Talen Energy Supply, LLC",11/01/16-10/31/17
LR98195,"Powell, Elizabeth","G2G consulting, llc",MdBio Foundation,11/21/16-10/31/17
LR97498,"Powell, Michael C",Gordon Feinblatt LLC,Maryland Energy Group,11/01/16-10/31/17
LR97501,"Powell, Michael C",Gordon Feinblatt LLC,Maryland Industrial Technology Alliance,11/01/16-10/31/17
LR97485,"Powell, Michael C",Gordon Feinblatt LLC,Honeywell,11/01/16-10/31/17
LR97500,"Powell, Michael C",Gordon Feinblatt LLC,Maryland Building Industry Association,11/01/16-10/31/17
LR96157,"Power, Matthew J",Maryland Independent College and University Association,Maryland Independent College & University Association,11/01/16-10/31/17
LR96377,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.","Best Buddies International, Inc.",11/01/16-10/31/17
LR96533,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",Coalition of Ignition Interlock Manufacturers (CIIM),11/01/16-04/30/17
LR96707,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.","Daily Record, The",11/01/16-10/31/17
LR96838,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",Verizon Maryland Inc.,11/01/16-04/30/17
LR96884,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.","DMS Development, LLC.",11/01/16-10/31/17
LR97338,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",Maryland Podiatric Medical Association,11/01/16-10/31/17
LR97351,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",US Oncology,11/01/16-10/31/17
LR97411,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.","Mylan, Inc.",11/01/16-10/31/17
LR96957,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",Washington Metropolitan Auto Body Ass'n Inc. (WMABA),11/01/16-04/30/17
LR97194,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.","ConAgra Foods, Inc.",11/01/16-10/31/17
LR108990,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",American Wind Energy Associaiton,02/01/17-10/31/17
LR109078,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",Utility Scale Solar Energy Coalition,02/15/17-10/31/17
LR139630,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",Center for Secure and Modern Elections,09/15/17-10/31/17
LR109059,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",Fresh Energy,02/13/17-10/31/17
LR97032,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.","Sequon, Inc.",11/01/16-10/31/17
LR96440,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",Atlantic Richfield Company (ARCO),11/01/16-10/31/17
LR98793,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.","HACC - Heating & Air Conditioning Contractors of Maryland, Inc.",01/13/17-10/31/17
LR109280,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.","NL Industries, Inc",03/29/17-10/31/17
LR129359,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.","Cherrywood Solar I, LLC",05/22/17-10/31/17
LR96994,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.","JJF Management Services, Inc.",11/01/16-10/31/17
LR97052,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.","GANTECH, Inc.",11/01/16-10/31/17
LR97183,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.","Kennedy Krieger Institute, The",11/01/16-10/31/17
LR97204,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.","Sherwin-Williams Company, The",11/01/16-10/31/17
LR97239,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",Lockheed Martin Corporation,11/01/16-10/31/17
LR96880,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",Distilled Spirits Council of the U.S.,11/01/16-10/31/17
LR96902,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.","Enterprise RAC Company of Maryland, LLC",11/01/16-10/31/17
LR96914,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",Environmental Quality Resources,11/01/16-04/30/17
LR96908,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.","Enterprise RAC Company of Baltimore, LLC",11/01/16-10/31/17
LR108920,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",American Wood Council,01/26/17-10/31/17
LR108989,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",Maryland Vapor Alliance,02/01/17-10/31/17
LR109262,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",Family and Nursing Care,03/24/17-10/31/17
LR139502,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",Penn-Mar Human Services,07/18/17-10/31/17
LR96944,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.","Wawa, Inc.",11/01/16-10/31/17
LR97165,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",IGT and Its Affiliates,11/01/16-04/30/17
LR97169,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",St. Mary's College of Maryland Foundation,11/01/16-10/31/17
LR97350,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.","MD/DC/VA Solar Energy Industries Association, Inc. (SEIA)",11/01/16-04/30/17
LR97421,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.","NAMI Maryland (National Alliance for the Mentally Ill)",11/01/16-10/31/17
LR97444,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",NextEra Energy Resources,11/01/16-10/31/17
LR97459,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.","National Shooting Sports Foundation, Inc.",11/01/16-04/30/17
LR96265,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",American Water,11/01/16-10/31/17
LR96320,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",Association of Maryland Pilots,11/01/16-10/31/17
LR96482,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.","Chesapeake BaySavers, Inc.",11/01/16-10/31/17
LR96700,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",Compassion and Choices,11/01/16-10/31/17
LR96848,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",Diamond Game Enterprises,11/01/16-10/31/17
LR96958,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",Twain Financial,11/01/16-10/31/17
LR97157,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",Girl Scouts of Central Maryland,11/01/16-10/31/17
LR97174,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",Intel Security (formerly McAfee),11/01/16-10/31/17
LR97315,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",Maryland Association of Public Library Administrators,11/01/16-10/31/17
LR97345,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",Maryland Veterinary Medical Association,11/01/16-10/31/17
LR97392,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",Norfolk Southern Corporation,11/01/16-10/31/17
LR97794,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",Maryland Speech Language Hearing Association,11/02/16-10/31/17
LR109204,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.","LSP Transmission Holdings, LLC",03/03/17-10/31/17
LR109311,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",Real Hip-Hop Network,04/05/17-10/31/17
LR139576,"Powers Garagiola, Hannah","Alexander & Cleaver, P.A.",Maryland State Child Care Association,08/29/17-10/31/17
LR97484,"Presley, Mary",Maryland Motorcoach Association,Maryland Motorcoach Association,11/22/16-08/01/17
LR98126,"Preston, Eleanor",Consumer Health First,Consumer Health First,11/15/16-10/31/17
LR98007,"Prizmich, Kathy","The GEO Group, Inc.","GEO Group, Inc., The",11/01/16-10/31/17
LR142559,"Proctor III, Gregory Stephen","G.S. Proctor & Associates, Inc.",Alice Ferguson Foundation,01/18/17-10/31/17
LR142562,"Proctor III, Gregory Stephen","G.S. Proctor & Associates, Inc.","Pepco Holdings, Inc.",01/11/17-10/31/17
LR142564,"Proctor III, Gregory Stephen","G.S. Proctor & Associates, Inc.",Prince George's County Deputy Sheriffs Association,01/11/17-10/31/17
LR142565,"Proctor III, Gregory Stephen","G.S. Proctor & Associates, Inc.",Washington Suburban Sanitary Commission,01/24/17-10/31/17
LR109209,"Proctor III, Gregory Stephen",G.S. Proctor & Associates,"Prince George's County Boys and Girls Club, Inc.",03/03/17-10/31/17
LR97696,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.","AAA Mid-Atlantic, Inc.",11/07/16-10/31/17
LR97705,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.","Brandywine Investment Properties, LLC",11/07/16-10/31/17
LR97713,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.",City of District Heights,11/07/16-10/31/17
LR97785,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.","Pepco Holdings, Inc.",11/07/16-10/31/17
LR97787,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.","Pleasants Construction, Inc.",11/07/16-10/31/17
LR97790,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.",Prince George's County Deputy Sheriffs Association,11/07/16-10/31/17
LR97803,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.","Transdev North America, Inc.",11/07/16-10/31/17
LR97808,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.",Washington Suburban Sanitary Commission,11/07/16-10/31/17
LR97811,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.","GCOM Software, Inc.",11/07/16-10/31/17
LR97881,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.","Mattawoman Energy, LLC",11/07/16-10/31/17
LR109324,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.","Embassy Consular Annex of the Commonwealth of The Bahamas, The",04/18/17-05/18/17
LR97769,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.",Exelon Corporation,11/07/16-10/31/17
LR97792,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.",Southern Maryland Blue Crabs,11/07/16-10/31/17
LR97802,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.","SuperShuttle, International, Inc.",11/07/16-10/31/17
LR97819,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.","Purple Line Transit Partners, LLC Special Purpose Vehicle Team",11/07/16-10/31/17
LR97720,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.","Clark Construction Group, LLC",11/07/16-10/31/17
LR97760,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.",D.C. Firefighters Association - Local No. 36,11/07/16-10/31/17
LR97772,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.","G.S. Proctor and Associates, Inc.",11/07/16-10/31/17
LR97778,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.",Maryland Alliance of Boys & Girls Clubs,11/07/16-10/31/17
LR97795,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.",St. Charles Companies,11/07/16-10/31/17
LR97806,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.",Walton International Group (USA) Inc.,11/07/16-10/31/17
LR97816,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.","Global Green Recycling, LLC",11/07/16-10/31/17
LR97715,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.",City of Glenarden,11/07/16-10/31/17
LR97764,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.",Echo Real Estate Services Company,11/07/16-10/31/17
LR97773,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.","Insurance Auto Auctions, Corp.",11/07/16-10/31/17
LR97775,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.","Lidl US, LLC",11/07/16-10/31/17
LR97783,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.",MedStar Southern Maryland Hospital Center,11/07/16-10/31/17
LR97784,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.",NorthBay Adventure,11/07/16-10/31/17
LR97699,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.",Alice Ferguson Foundation,11/07/16-10/31/17
LR97701,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.","Adventist HealthCare, Inc",11/07/16-10/31/17
LR97712,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.",University of Maryland Charles Regional Medical Center,11/07/16-10/31/17
LR97774,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.","Interdynamics, Inc.",11/07/16-10/31/17
LR97781,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.",Maryland Pharmacists Association,11/07/16-10/31/17
LR97804,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.","Velocity Capital, LLC",11/07/16-10/31/17
LR109207,"Proctor, Jr., Gregory S.","G.S. Proctor & Associates, Inc.","Prince George's County Boys and Girls Club, Inc.",03/03/17-10/31/17
LR97588,"Prost, Alison Hooper","Chesapeake Bay Foundation, Inc",Chesapeake Bay Foundation,11/01/16-10/31/17
